               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07513,            0.034744,             0.03508,             0.32979,             0.57641,             0.40091,             0.15772,            0.030477,            0.012497,            0.021915,            0.070789,           0.0032456,           0.0032456
                   1,            0.051418,            0.027966,            0.036029,              0.2997,             0.58794,              0.3914,             0.15807,            0.031447,           0.0070209,            0.019081,            0.038618,           0.0044079,           0.0044079
                   2,            0.039987,            0.022809,            0.029665,             0.55989,             0.72616,             0.65581,             0.30006,            0.022696,           0.0065872,            0.017229,           0.0042474,           0.0033702,           0.0033702
