               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095238,            0.030121,            0.045113,             0.31035,             0.32557,             0.39133,             0.16327,             0.03764,            0.011639,            0.030402,               0.073,               0.003,               0.003
                   1,             0.06223,            0.028322,            0.039968,             0.39045,              0.6761,              0.6229,             0.25485,             0.04053,           0.0093495,            0.026994,             0.04504,           0.0060396,           0.0060396
                   2,            0.057378,            0.022199,            0.035803,             0.34398,             0.67546,             0.46913,             0.16628,            0.055355,            0.006311,            0.023596,            0.017018,           0.0090178,           0.0090178
                   3,            0.054128,            0.020882,            0.033164,              0.5005,             0.69597,             0.56111,             0.22871,            0.041178,           0.0066762,            0.020886,            0.009703,            0.009703,            0.009703
                   4,            0.050876,            0.019103,            0.029567,             0.53427,             0.82917,             0.65658,             0.30088,            0.034172,           0.0048553,            0.018063,            0.009703,            0.009703,            0.009703
                   5,            0.046471,            0.017259,            0.028535,               0.683,             0.86397,             0.79009,             0.37032,            0.031955,           0.0046485,            0.017833,            0.009604,            0.009604,            0.009604
                   6,            0.042942,            0.018787,            0.027574,             0.73639,             0.94646,             0.91523,             0.50482,             0.02737,           0.0046415,            0.015992,            0.009505,            0.009505,            0.009505
                   7,            0.040372,            0.017755,            0.026183,             0.87149,             0.95877,             0.96039,             0.56406,            0.022707,           0.0046178,             0.01477,            0.009406,            0.009406,            0.009406
                   8,              0.0382,            0.016921,            0.023863,             0.79965,             0.89527,             0.91123,             0.45446,            0.029105,           0.0042945,            0.015955,            0.009307,            0.009307,            0.009307
                   9,            0.037238,            0.015568,            0.023657,              0.7621,             0.89655,              0.9149,              0.5408,            0.024694,           0.0043437,            0.014953,            0.009208,            0.009208,            0.009208
                  10,            0.037566,            0.016535,            0.023478,             0.85061,              0.9672,             0.95261,             0.56012,            0.025952,             0.00433,            0.014175,            0.009109,            0.009109,            0.009109
                  11,            0.036333,              0.0159,            0.023689,             0.81293,             0.96185,             0.95187,             0.59479,            0.023163,           0.0045454,            0.015053,             0.00901,             0.00901,             0.00901
                  12,            0.034417,            0.015589,            0.023467,             0.86639,             0.94008,             0.95526,             0.60409,            0.021546,           0.0044361,            0.014351,            0.008911,            0.008911,            0.008911
                  13,             0.03427,            0.015021,            0.021547,             0.78373,             0.92703,             0.91932,             0.50055,             0.02545,           0.0043925,            0.015456,            0.008812,            0.008812,            0.008812
                  14,            0.034125,            0.014733,            0.021346,             0.79035,             0.89428,              0.9341,             0.57807,             0.02293,           0.0044502,            0.016128,            0.008713,            0.008713,            0.008713
                  15,            0.034398,            0.015879,            0.021577,             0.79318,             0.73775,             0.71347,             0.46328,            0.020812,           0.0043145,            0.023219,            0.008614,            0.008614,            0.008614
                  16,            0.031995,            0.014867,            0.022276,              0.7712,             0.67051,             0.66597,             0.41617,             0.02115,           0.0043674,            0.028145,            0.008515,            0.008515,            0.008515
                  17,             0.03064,            0.014586,            0.022744,             0.87866,             0.94773,             0.95991,             0.60319,            0.023408,           0.0041238,            0.015338,            0.008416,            0.008416,            0.008416
                  18,            0.031386,            0.015218,            0.023434,             0.89398,             0.98473,             0.97468,             0.62204,            0.023814,           0.0045604,            0.014107,            0.008317,            0.008317,            0.008317
                  19,            0.032313,            0.014732,            0.021091,               0.893,             0.98617,             0.98794,             0.69649,            0.020475,           0.0040941,            0.013588,            0.008218,            0.008218,            0.008218
                  20,            0.029918,            0.014878,            0.019671,             0.85409,             0.98566,              0.9859,             0.72348,            0.019065,           0.0039552,            0.013373,            0.008119,            0.008119,            0.008119
                  21,            0.030814,            0.014808,            0.019447,               0.847,             0.96571,             0.97789,             0.67633,            0.019803,           0.0041426,            0.013737,             0.00802,             0.00802,             0.00802
                  22,            0.030398,            0.014135,            0.020634,             0.86106,             0.99773,             0.96965,             0.67926,            0.019666,           0.0039079,            0.013251,            0.007921,            0.007921,            0.007921
                  23,            0.030147,            0.014337,            0.020383,             0.87879,             0.94972,             0.98148,             0.72124,            0.019756,           0.0038214,            0.013518,            0.007822,            0.007822,            0.007822
                  24,            0.029675,            0.014053,             0.02028,             0.90127,             0.94536,             0.98359,             0.66968,             0.02175,            0.003698,            0.013482,            0.007723,            0.007723,            0.007723
                  25,            0.029907,            0.014191,            0.020168,             0.80615,             0.94677,             0.96766,             0.67387,            0.021356,           0.0039902,            0.013462,            0.007624,            0.007624,            0.007624
                  26,            0.030962,            0.014067,            0.020505,             0.86608,             0.98939,             0.98112,             0.71461,            0.018638,           0.0038448,            0.013249,            0.007525,            0.007525,            0.007525
                  27,            0.028807,            0.013948,            0.019042,             0.91298,             0.96515,             0.98502,             0.72599,            0.018909,           0.0037938,            0.013407,            0.007426,            0.007426,            0.007426
                  28,            0.026771,            0.013591,            0.019523,             0.88364,             0.94278,             0.98251,             0.69633,            0.019948,           0.0037705,            0.013153,            0.007327,            0.007327,            0.007327
                  29,            0.028157,             0.01398,            0.017702,             0.90887,               0.928,             0.96961,             0.64823,            0.022008,           0.0035992,            0.013163,            0.007228,            0.007228,            0.007228
                  30,            0.028207,            0.013135,             0.02013,              0.9244,             0.94267,             0.97792,             0.73314,            0.018588,           0.0037405,            0.013172,            0.007129,            0.007129,            0.007129
                  31,            0.028126,            0.013124,            0.020123,             0.92221,             0.95213,             0.98217,             0.76367,            0.017973,           0.0036432,            0.013326,             0.00703,             0.00703,             0.00703
                  32,            0.026451,             0.01308,            0.018724,             0.86102,             0.98025,             0.97772,             0.72464,            0.019525,           0.0037692,            0.013367,            0.006931,            0.006931,            0.006931
                  33,            0.027857,            0.013549,            0.019351,             0.84508,             0.83485,             0.92348,             0.68144,            0.018408,           0.0038722,            0.015624,            0.006832,            0.006832,            0.006832
                  34,            0.026791,            0.013072,            0.017903,             0.85346,             0.98542,             0.97867,             0.73353,            0.018082,           0.0036112,            0.012542,            0.006733,            0.006733,            0.006733
