               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027405,            0.013262,            0.017962,             0.84193,             0.99005,             0.98334,             0.76211,             0.01785,            0.003631,             0.01248,            0.006634,            0.006634,            0.006634
                  36,            0.028566,            0.012385,            0.018898,              0.8402,             0.98316,             0.98138,             0.66541,            0.021026,           0.0036674,            0.012768,            0.006535,            0.006535,            0.006535
                  37,            0.028357,            0.013143,            0.020077,             0.89112,             0.93008,             0.97283,             0.73921,            0.018368,           0.0036772,            0.012941,            0.006436,            0.006436,            0.006436
                  38,            0.026824,            0.013078,            0.017908,             0.88663,             0.92374,             0.97755,              0.7548,            0.018377,           0.0035161,              0.0133,            0.006337,            0.006337,            0.006337
                  39,            0.026585,            0.012401,            0.019116,             0.87211,             0.92973,              0.9803,             0.75683,            0.019213,           0.0034443,            0.013142,            0.006238,            0.006238,            0.006238
                  40,            0.025863,            0.013005,            0.017261,             0.86012,             0.94513,             0.97835,             0.73078,             0.01917,           0.0038797,            0.012704,            0.006139,            0.006139,            0.006139
                  41,            0.027441,             0.01278,            0.018364,             0.84008,             0.88036,             0.95855,             0.72617,            0.018502,           0.0035982,            0.013504,             0.00604,             0.00604,             0.00604
                  42,            0.025114,            0.012717,            0.017572,             0.90398,             0.96658,             0.99038,              0.7763,            0.018229,           0.0038114,            0.012615,            0.005941,            0.005941,            0.005941
                  43,            0.025244,            0.012865,            0.018165,             0.86577,             0.99545,             0.98654,             0.79354,            0.017663,            0.003633,             0.01244,            0.005842,            0.005842,            0.005842
                  44,            0.025566,            0.012421,            0.017759,             0.85116,             0.96788,             0.98304,             0.77982,            0.017848,           0.0034433,            0.012974,            0.005743,            0.005743,            0.005743
                  45,            0.024259,            0.013244,            0.017513,             0.76501,               0.975,             0.95792,             0.71466,            0.018472,           0.0035144,            0.014169,            0.005644,            0.005644,            0.005644
                  46,            0.023953,            0.012633,             0.01714,             0.87245,             0.94279,             0.97166,             0.71507,            0.018383,           0.0037127,            0.013187,            0.005545,            0.005545,            0.005545
                  47,            0.025213,            0.012047,            0.017035,             0.86261,             0.95161,             0.98198,              0.7642,            0.017819,           0.0038433,            0.012526,            0.005446,            0.005446,            0.005446
                  48,            0.025579,             0.01258,            0.018004,             0.88302,             0.90152,             0.97381,              0.7489,            0.018512,           0.0037146,             0.01253,            0.005347,            0.005347,            0.005347
                  49,            0.024884,            0.012243,             0.01764,             0.84216,             0.96114,             0.98217,             0.77099,            0.018173,           0.0034731,            0.012652,            0.005248,            0.005248,            0.005248
                  50,            0.024576,            0.012446,            0.017734,             0.85971,             0.96994,             0.98596,             0.76043,            0.018094,           0.0036438,            0.012551,            0.005149,            0.005149,            0.005149
                  51,            0.023397,            0.011639,            0.017563,             0.86281,             0.97843,             0.98738,             0.78335,            0.017624,           0.0034809,             0.01233,             0.00505,             0.00505,             0.00505
                  52,            0.024532,            0.011787,             0.01915,             0.92003,             0.95109,              0.9828,             0.75636,            0.018479,           0.0033936,            0.012042,            0.004951,            0.004951,            0.004951
                  53,            0.026321,            0.012597,            0.018936,             0.88361,             0.96151,              0.9836,             0.76328,            0.018456,           0.0034932,             0.01251,            0.004852,            0.004852,            0.004852
                  54,            0.024374,            0.012424,            0.018446,             0.91879,             0.88865,             0.97356,             0.77105,            0.017521,           0.0034325,             0.01258,            0.004753,            0.004753,            0.004753
                  55,            0.024508,            0.012418,            0.018452,             0.81626,             0.97689,             0.96982,             0.76848,            0.018607,           0.0035144,             0.01257,            0.004654,            0.004654,            0.004654
                  56,            0.024179,            0.012223,            0.018643,             0.86507,             0.92348,             0.96787,             0.78804,            0.017815,           0.0034515,            0.012617,            0.004555,            0.004555,            0.004555
                  57,            0.024607,            0.012024,            0.018807,             0.88944,             0.93147,             0.96895,             0.77305,            0.017709,           0.0036161,            0.012311,            0.004456,            0.004456,            0.004456
                  58,              0.0236,            0.012146,            0.016913,             0.88205,              0.9161,             0.96882,             0.77506,            0.017443,           0.0034215,             0.01216,            0.004357,            0.004357,            0.004357
                  59,            0.022702,            0.011886,            0.016675,             0.83855,             0.93223,             0.96527,              0.7778,            0.017222,           0.0033979,            0.012479,            0.004258,            0.004258,            0.004258
                  60,            0.023787,            0.011859,            0.016376,             0.87086,             0.93612,             0.97306,             0.79267,            0.017462,            0.003483,             0.01282,            0.004159,            0.004159,            0.004159
                  61,            0.023982,            0.012198,            0.017096,             0.91113,             0.87342,             0.97237,             0.78802,            0.017672,           0.0035107,            0.012905,             0.00406,             0.00406,             0.00406
                  62,            0.023779,            0.011374,            0.016767,              0.7981,              0.9696,             0.96347,             0.77538,            0.017431,           0.0033487,            0.012536,            0.003961,            0.003961,            0.003961
                  63,             0.02293,            0.012085,            0.016435,             0.83115,             0.96755,              0.9748,             0.79684,            0.017358,           0.0033884,            0.012334,            0.003862,            0.003862,            0.003862
                  64,            0.023877,            0.011347,            0.018114,               0.839,             0.97402,             0.97579,             0.78794,            0.017779,           0.0033213,            0.012434,            0.003763,            0.003763,            0.003763
                  65,            0.023077,            0.011669,            0.015918,             0.86739,             0.95873,             0.97164,             0.78741,            0.017342,           0.0034469,            0.012185,            0.003664,            0.003664,            0.003664
                  66,            0.023049,            0.011703,            0.016955,             0.89429,             0.92504,             0.97825,             0.80416,            0.017046,           0.0033839,            0.011935,            0.003565,            0.003565,            0.003565
                  67,            0.022388,            0.011474,            0.015769,             0.88523,             0.93789,             0.97105,             0.79204,            0.017079,           0.0033826,            0.012275,            0.003466,            0.003466,            0.003466
                  68,            0.022398,             0.01141,            0.015073,             0.86837,             0.92996,             0.97019,             0.78532,            0.017082,           0.0033045,            0.012155,            0.003367,            0.003367,            0.003367
                  69,            0.022393,            0.011463,            0.017286,             0.91069,             0.93901,             0.97518,             0.78794,            0.017671,           0.0033881,             0.01223,            0.003268,            0.003268,            0.003268
                  70,            0.022278,            0.011079,            0.016816,             0.90978,             0.92885,             0.97694,              0.8038,            0.017315,           0.0035002,            0.012357,            0.003169,            0.003169,            0.003169
                  71,             0.02225,            0.011393,            0.016122,             0.86097,             0.93356,             0.96577,             0.81454,            0.016966,           0.0034422,            0.012239,             0.00307,             0.00307,             0.00307
                  72,            0.021581,            0.010901,            0.016832,             0.88569,             0.91813,             0.97474,              0.7955,            0.017182,           0.0033681,            0.012293,            0.002971,            0.002971,            0.002971
                  73,            0.022393,            0.011185,            0.015945,              0.8525,              0.9283,             0.97159,             0.80083,            0.016485,            0.003331,            0.011948,            0.002872,            0.002872,            0.002872
                  74,            0.021882,             0.01085,            0.016731,             0.83837,             0.96226,             0.97563,             0.80787,            0.016576,           0.0032887,            0.012041,            0.002773,            0.002773,            0.002773
                  75,            0.021264,            0.010593,               0.016,             0.87449,             0.94595,             0.97865,             0.80342,            0.016665,           0.0033889,             0.01171,            0.002674,            0.002674,            0.002674
                  76,            0.022044,            0.010368,            0.016094,             0.88865,             0.96649,             0.98062,             0.80966,            0.017158,            0.003436,            0.011975,            0.002575,            0.002575,            0.002575
                  77,            0.021108,            0.010546,            0.015875,             0.81339,              0.9652,             0.97442,             0.81376,            0.016782,            0.003422,            0.011902,            0.002476,            0.002476,            0.002476
                  78,            0.021742,            0.011128,            0.016095,             0.88898,             0.92056,                0.97,             0.80868,            0.016739,           0.0033757,            0.012058,            0.002377,            0.002377,            0.002377
                  79,            0.021707,            0.010705,            0.016467,             0.88743,             0.92346,             0.96999,              0.8171,            0.016686,           0.0033775,            0.012138,            0.002278,            0.002278,            0.002278
                  80,            0.021681,             0.01046,            0.016282,             0.86728,             0.90342,             0.96917,             0.81035,            0.016798,           0.0032999,            0.012016,            0.002179,            0.002179,            0.002179
                  81,            0.020205,            0.010165,             0.01505,             0.88455,             0.96113,             0.97184,             0.80814,            0.016637,           0.0033774,            0.011575,             0.00208,             0.00208,             0.00208
                  82,            0.020667,            0.010725,            0.016712,             0.90137,             0.91467,              0.9735,             0.81457,            0.016584,           0.0032758,            0.011728,            0.001981,            0.001981,            0.001981
                  83,            0.021638,            0.010583,            0.016099,             0.82976,             0.93686,              0.9662,             0.81068,            0.016474,           0.0032394,            0.011692,            0.001882,            0.001882,            0.001882
                  84,            0.020744,             0.01096,             0.01445,             0.79019,             0.96588,             0.95528,             0.80737,            0.016517,           0.0032398,            0.011653,            0.001783,            0.001783,            0.001783
                  85,            0.021312,            0.010443,            0.016457,              0.8438,             0.94584,             0.97023,             0.81413,            0.016971,           0.0032387,            0.011643,            0.001684,            0.001684,            0.001684
                  86,            0.020602,            0.010808,            0.015065,             0.86471,             0.91719,             0.97977,             0.83252,            0.016659,           0.0032223,            0.011437,            0.001585,            0.001585,            0.001585
                  87,            0.020906,            0.011074,            0.014947,             0.85358,              0.9087,              0.9762,             0.83016,            0.016689,            0.003263,             0.01178,            0.001486,            0.001486,            0.001486
                  88,            0.020249,            0.010252,            0.015645,             0.89519,              0.9056,             0.97421,             0.82643,            0.016638,           0.0032793,             0.01191,            0.001387,            0.001387,            0.001387
                  89,            0.021329,            0.010133,            0.017305,               0.891,             0.92497,             0.97373,             0.81989,            0.016654,           0.0032263,             0.01182,            0.001288,            0.001288,            0.001288
                  90,            0.019931,            0.011422,            0.015884,             0.91007,             0.92372,             0.97414,             0.82088,            0.016471,           0.0032297,            0.011726,            0.001189,            0.001189,            0.001189
                  91,            0.020173,            0.010603,            0.015448,              0.8865,             0.94068,             0.97485,             0.81524,            0.016573,           0.0032434,            0.011619,             0.00109,             0.00109,             0.00109
                  92,            0.019076,            0.010359,            0.014421,             0.89598,             0.94281,             0.97711,             0.82962,            0.016479,           0.0031941,            0.011533,            0.000991,            0.000991,            0.000991
                  93,            0.019599,            0.010515,            0.015652,             0.92846,             0.93255,             0.97929,             0.83704,            0.016327,           0.0031627,            0.011341,            0.000892,            0.000892,            0.000892
                  94,            0.020182,            0.010064,            0.013978,             0.93134,             0.94061,             0.97897,             0.82455,            0.016363,           0.0031892,            0.011234,            0.000793,            0.000793,            0.000793
                  95,            0.020589,            0.010853,            0.015711,             0.91563,             0.93756,             0.97933,             0.82813,            0.016488,           0.0032621,            0.011416,            0.000694,            0.000694,            0.000694
                  96,            0.019777,            0.010244,            0.015303,             0.91289,             0.93396,             0.97988,             0.82747,            0.016344,           0.0032141,            0.011356,            0.000595,            0.000595,            0.000595
                  97,            0.019296,            0.010451,            0.014508,             0.93084,             0.91654,             0.98006,              0.8235,            0.016327,           0.0031417,            0.011426,            0.000496,            0.000496,            0.000496
                  98,            0.019576,            0.010612,            0.014466,             0.92653,             0.91713,             0.97794,             0.81855,            0.016413,           0.0031591,            0.011439,            0.000397,            0.000397,            0.000397
                  99,            0.020221,            0.010304,            0.014451,             0.93919,             0.91411,              0.9764,             0.81775,            0.016384,           0.0031699,             0.01143,            0.000298,            0.000298,            0.000298
